IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s),数据中心
172.67.64.152#HKG111,4,4,0.00,145.97,0.00,HKG
162.159.133.24#HKG111,4,4,0.00,149.16,0.00,HKG
104.26.6.151#HKG111,4,4,0.00,152.15,0.00,HKG
162.159.137.198#HKG111,4,4,0.00,152.63,0.00,HKG
162.159.130.158#HKG111,4,4,0.00,153.86,0.00,HKG
104.20.30.46#HKG111,4,4,0.00,155.43,0.00,HKG
162.159.140.163#HKG111,4,4,0.00,163.29,0.00,HKG
162.159.134.217#HKG111,4,4,0.00,164.77,0.00,HKG
162.159.129.131#HKG111,4,4,0.00,244.22,0.00,HKG
162.159.152.161#HKG111,4,4,0.00,269.96,0.00,HKG